CATEGORIA,Pizza,INGREDIENTI,PREZZO,FOTO
Le nostre proposte,Arrabbiata,"pomodoro, tonno, olive, capperi, peperoncino IN USCITA pomodori confit, olio piccante","7,80â‚¬",
Le nostre proposte,Caprese,"Pomodoro IN USCITA mozzarella di Bufala, pomodorini, origano, basilico fresco, olio EVO","7,80â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/RKAPyhZVXM17BcqQThTg.png
Le nostre proposte,Appetitosa,"pomodoro, mozzarella, zucchine, salsiccia IN USCITA ricotta affumicata","7,50â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/TEf0gr1BkPze2kPajrOV.png
Le nostre proposte,Contadina,"pomodoro, mozzarella, radicchio, brie, salsiccia","7,50â‚¬",
Le nostre proposte,Gustosa,"mozzarella, prosciutto cotto, patate al forno, brie, grana grattugiato","7,50â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/yYXsSmQ0knao6DZwnKhB.png
Le nostre proposte,Delizia,"mozzarella, melanzane a funghetto, prosciutto cotto, ricotta fresca, basilico ","7,50â‚¬",
Le nostre proposte,Delicata,"mozzarella, zucchine grigliate, philadelphia, gratinato","7,50â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/N0NMzvoBPdXAIbBdJVXP.png
Calzoni,Calzone Napoletano,"Pomodoro, mozzarella, ricotta fresca, salamino piccante, pepe","7,60â‚¬",
Calzoni,Calzone Vegetariano,"Pomodoro, mozzarella, scamorza, melanzane, zucchine, peperoni","7,60â‚¬",
Calzoni,Calzone ai formaggi,"Pomodoro, mozzarella, emmenthal, scamorza, gorgonzola","7,60â‚¬",
Bibite,CocaCola lattina 33,,"2,50â‚¬","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAJQA2AMBEQACEQEDEQH/xAAcAAEAAgIDAQAAAAAAAAAAAAAAAQQFBwMGCAL/xAA9EAACAQMBBAYGBwcFAAAAAAAAAQIDBBEFBhIhMRNBUXFzsRQiNWGBkRUjJTNyodEWMjRCUmKiBzZTgpL/xAAaAQEAAgMBAAAAAAAAAAAAAAAAAgMBBAUG/8QAMhEBAAIBAgMGBAUEAwAAAAAAAAECAwQRITEyBRIzQVFxE2GRwTSBodHhI0Kx8BUicv/aAAwDAQACEQMRAD8A3iAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAGQJAgCQAAAAAAAAAAAAAAAAAAAAAIAkCJPHYB0evtxdU7+vbUtPhU6Objnpd3P5M17Z9p2dbH2Xa9It3tlLVNu9VtKEqq0+hDC4J1uf+Jj4+62vZEW/v/Ri7P/UXaC9qwpW+l051JPCjG4jz/wDBn48LLdh92vetk2j2/lnauubZWyi7jRKeZJtQjdwk8Lj1QE5pjnDUpotNffbPHD5St7I7V3mtXjt7q2hRwm+Dzy6uryJY80XnaGNb2ZfSV70zvDuKLnMSAAAAAAAAAAAAAAAAAAABgQBIFXVZyp6dczg8SjTk0/gRv0rcMb5KxLQsNQuXVqSVV7zfFrmzQe07lYiIiEr7QhWhf3dTEd1xh0qhvcUnxfYsv4E6xHm09TkviiPhw4qVjptOnSlb6zWhVgm5VKdXGOeJY+HaTmtdmtGq1Pe2mOHoyFxVaqJPaa9jT6PKav5VN1blV5aXVmFPh2SMTWPVnHlvtxxRP5Rx4x/LLbOWvoWuW1S21J15elyp1EpqTUVNxi33x3X8RFdpiYM+e+XDaMlfKJ/T924VyNx5pIAAAAAAAAAAAAAAAAAAAAAACnrHsu68KXkRv0ytweLX3eebeX1tRe9mg9vbkq6rh2z715koU2Yumk5cUuRKUKQ5aeFnqMLI3dq2HS/aexwl98vMxHVCrWfh7+z0AuRvvGpAAAAAAAAAAAAAAAAAAAAAAAU9Y9l3fhS8iN+lbg8Svu862/39TvfmaD288lfVXi3f4kShTfkxlJ+sSlGjmppOeCKyObtOwn+5rDx4mK9UKtZ+Hv7PQKOg8YkAAAAAAAAAAAAAAAAAAAAAABT1f2XdeFLyI36ZW4fEr7vOdq36TV72aMvbxyVtUmnT3c8crh1/IzCq8fNjKHGbWTMoY+a5bw3pkN12ztGwscbT2Kf/ADRM16oU6z8Pf2egEdB4sAAAAAAAAAAAAAAAAAAAAAAAU9XeNMuvCl5Eb9MrMPiQ0Tsvo0dQqXl9f1Xb6ZbN9NU5OT/pj+pp1rvxl6vV6qcUVx443vbk+tUutHvNG1SdKytrajQXR20N1yuJzfKblngjO8TE7Q1LY8+PLWs2mZ8+Wzp1rTnUniEJSljlFZwRni6WKa9U8mXsrd7zUYym8cFFNv5Ffyhs7REcXZdjrWotrbGKpVEukTy4tY5vyJ495tDS116xpr8fJvSPLidB41IAAAAAAAAAAAAAAAAAAAAAEAVNY9l3XhS8iN+mVuHxK+7Ud9aVq9XSNlLJ7icVXupx6m+Lk/z+LRqTG9opDv4MtccZNbk9o+3++m7klC0v51tM0OtTo2NGNSzlCpTyq9WSwp73Xji/hklG08IaeX4mOYy5uNp2n2j0/wAOPTbrTtm9Uo6FptGpcVI/xNaEU6lar1QT6o9vuMTbu/8AWFtcGXVY5z3n29Ij1Z3Tra20jUHaU+ihUpwd7rF1j7uHFxpR7E8fJPtJRtWdvqjlyW1GOLz/AOaR8+W7k2Tur+8vb29vodFGd0o0aG6lKNSaXN/2091fMY5mZ3lnWY8WOtMdJ32rxn5RP3lsWHLnk2nDfQAAAAAAAAAAAAAAAAAAAAAACnqyzptwny3GRtyTxeJDUdtq1vpW3+pXOoRqODt+ihKC3mv3ccPfjHyNSLd3Ju9DGmvn0NIxzxid2K0XaHTdM16lKpQla6XRpyhQivXlFyxmpN59ZvGM9XJGKWiPZLWaTLfFO073+nBkNl9Y2e07Xri9pRu7iFSVSc72pScnFt53YxXJcefMlW9Yv3tkcml1OXSRTeI5cOX19V+vtbor0u8jp1tXqXdxcupJVVlSaeYyljmlhYj7sMxOWkRMQlj7L1U5afEmO7WOH7R95ZrZySttM2chUlKpWu6ta4lPnvzeeLfdL8iyvCtYampjv5s3d4RWIjb5Rs2HHkbLiJAAAAAAAAAAAAAAAAAAEASAAAU9XWdMuV20peRG3TKzFO2SrRNTWrS/rP6Q0alcXdNdG7iNzOk6iXBb0Y8/mjRmd55PX4dJkx+Hl2r6bRP6yxt3rVW1nF2Njptu4vKn6LGrNf8AarvsxEzHkxl00W67Wn8/tGztuzm3+p2tqvpOnC7g4epKnCNKSl1cuGPhksrmtHNqZew8OWI+FO0+fn/O6vqGuS11/aelWW9nELi3UoVYdmW8769zx8Cu2SL84bmDQxpZ/pZJ9p4x9PJnNktVuZKy0udKjKnSnJwqyjmcE8tpPvbWV1PBPHk32rs09bo6Vm+WJ584ieDaUeRvPMJAAAAAAAAAAAAAAAAAAEAAJAAVNU9nXPhy8iNumVmLxK+7zjRf2hXX90vM51nu6dKrqEPWYhizLafTza0u4SsryZS1p4ZAty2dk2YhjUqTx/MXYupzdd4UtqI6Dx6QAAAAAAAAAAAAAAAAABAAAAAral/AXHhsjbplPF1w85UF9p1/xy8zny97j6I9nDexzNd5FmWXso7tCmvcJZhkaCIo2dh2de7qFLvRbj5udrI/pWbTXI6LyCQAAAAAAAAAAAAAAAAABAAAAA4L1ZtaqzjMTFuSVeqHna3h9qXKTylUnh9vFnOtze8xTvSJfF5T9cimyttH6uPcGN12guIQvPDZ2/SLOlT0i3vVDNWdVLew/wCvHZ7u02K0iMfecPUai9tVbFPKI+zYK5G489D6AAAAAAAAAAAAAAAAAAEAADYEby6wK2o1oUrGtUk8KMct+4xbklSN7NAwpqN7XqLGJTk1jrWTnW5vcY52rESicU6sV7zC5d6WMEkuSMovuF7CDyxMkwzOl6/RqQtLKFSrPFVPdcd3dy8tN9azl8y2tuHdcnPppra2WY24Nvx/dWDdjk8u+gAAAAAAAAAAAAAAAAABAACHED4lF44IMqN3HepThVptwkmmsZ4GNt0omYneHSL7ZPRumbc7i3T5SpvKXwZTbDWXTxdq58cbTtLHy2LsW3K316C8Wl+hCdP825XtuP7qfq4pbER/m2hs8eFL9THwJ9Uv+bx+WOfqS2N0mEV6VtC+6jTWX8zMaf1lXbty3KtPqzuyey+j09QVa0srutCnx9Jum0m+rdiW1xVq5+o7Rz5Y2nhHybAXItc99AAAAAAAAAAAAAAAAAAAAAAQAA450ac+E6cZLsaAqVNH06s/rLGhLvgY2Z3lw/s3oqefoy3z+Azsbys0NLsLf7mzow7oIMLaWFhLGAJAkAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/9k="
